sample_question_id,normalized_question,question_text,topic,source_file,occurrence_count,first_line
534e8c894772,t o,T.O.,P.T.O.,CSE 3rd year.pdf,4,3467
7de9e4fd1cca,define the following terms,Define the following terms:,Section A,CSE 3rd year.pdf,3,1729
c95ee47689a0,tech,TECH. (CSE) (SEMESTER-V),B.TECH. (CSE) (SEMESTER-V),CSE 3rd year.pdf,3,1719
e9d71f5ee7c9,b,b),CONSTITUTION OF INDIA,CSE 3rd year.pdf,2,2594
426fe37bf4fe,differentiate between sparse and dense graphs,Differentiate between sparse and dense graphs?,Section C Section,CSE 3rd year.pdf,2,7158
249d56e4f1fa,discuss the fundamental rights conferred to citizens as per the indian constitution,Discuss the Fundamental Rights conferred to citizens as per the Indian  Constitution.,CONSTITUTION OF INDIA,CSE 3rd year.pdf,2,2595
d814b0059152,a what do you understand by directive principles of state policy,a) What do you understand by Directive Principles of State Policy?,CONSTITUTION OF INDIA,CSE 3rd year.pdf,2,2594
7f04fe5a3c8e,discuss time complexity of insertion sort algorithm in its best case,Discuss time complexity of Insertion Sort Algorithm in its best case.,Section D,CSE 3rd year.pdf,2,7185
3e460ee5ca60,apply and show stepwise,Apply and show stepwise,Section C Section,CSE 3rd year.pdf,2,7153
eb050e6342d5,differentiate between min heap and max heap,Differentiate between Min-Heap and Max-Heap?,Section C Section,CSE 3rd year.pdf,2,7153
f7c1380a0d71,explain,Explain.,ST021_005 | 103.170.7,CSE 3rd year.pdf,2,2316
a70e34c32a84,explain how we can solve a given knapsack problem with the help of branch and bound techniques,Explain how we can solve a given 0/1 Knapsack problem with the help of Branch and Bound techniques,Section C Section,CSE 3rd year.pdf,2,7166
ef7573952f0b,constitution,constitution?,CONSTITUTION OF INDIA,CSE 3rd year.pdf,2,2599
618e82323171,attempt any two parts of the following,Attempt any TWO parts of the following,(C),CSE 3rd year.pdf,2,432
5200bd4849c5,give algorithm to solve the queen problem using backtracking approach,Give algorithm to solve the 8-Queen problem using backtracking approach.,Section C Section,CSE 3rd year.pdf,2,7171
de5029608724,give bellman ford algorithm for single source shortest path,Give bellman-ford algorithm for single source shortest path.,Section B,CSE 3rd year.pdf,2,7126
7737ffcc12c1,have multiple spanning trees,have multiple spanning trees?,03 [P.T.O.],CSE 3rd year.pdf,2,7138
c1c01d7e3936,if yes provide a suitable example,"If yes, provide a suitable example.",03 [P.T.O.],CSE 3rd year.pdf,2,7138
c1c01d7e3936,if yes provide a suitable example,"If yes, provide a suitable example.",Section B,CSE 3rd year.pdf,2,7124
662893da2fe1,is better and inwhich case,is better and inwhich case?,Section C Section,CSE 3rd year.pdf,2,7160
908786afd3a1,is it possible for a graph to,Is it possible for a graph to,03 [P.T.O.],CSE 3rd year.pdf,2,7136
93558813002b,is it possible for a graph to have,Is it possible for a graph to have,Section B,CSE 3rd year.pdf,2,7122
dd10a31b68b1,length encoding,length encoding?,Section E,CSE 3rd year.pdf,2,7225
6dce0043c03e,multiple spanning trees,multiple spanning trees?,Section B,CSE 3rd year.pdf,2,7124
b8c36a065388,per indian constitution,per  Indian Constitution?,CONSTITUTION OF INDIA,CSE 3rd year.pdf,2,2609
289d2310e55f,please explain using a suitable example,Please explain using a suitable example,03 [P.T.O.],CSE 3rd year.pdf,2,7143
7efabe9841dd,recurrence tree what do you understand by this analysis,recurrence tree. What do you understand by this analysis?,Section E,CSE 3rd year.pdf,2,7230
ec4ab08b2f4f,sic,0sic,Section A,CSE 3rd year.pdf,2,7076
bbb930cc4265,statement,statement?,03 [P.T.O.],CSE 3rd year.pdf,2,7143
ad958fbce0a4,give algorithm of heap sort,Give algorithm of Heap Sort,Section C Section,CSE 3rd year.pdf,2,7175
a6b9690c150c,a data file of characters contains only the,"A data file of 100,000 characters contains only the",Section E,CSE 3rd year.pdf,2,7217
969053fe8adf,union territories,Union  Territories?,CONSTITUTION OF INDIA,CSE 3rd year.pdf,2,2632
25f2b830275e,what do you understand by minimum spanning tree,What do you understand by minimum spanning tree?,03 [P.T.O.],CSE 3rd year.pdf,2,7136
25f2b830275e,what do you understand by minimum spanning tree,What do you understand by minimum spanning tree?,Section B,CSE 3rd year.pdf,2,7122
8ac55f925a16,what do you understand by these two programming paradigm i e greedy approach and dynamic programming,What do you understand by these two programming paradigm i.e. Greedy approach and Dynamic programming?,Section B,CSE 3rd year.pdf,2,7115
49b87130b089,what will be thespace complexity of this program and why,What will be thespace complexity of this program and why?,Section E,CSE 3rd year.pdf,2,7215
e59bf67cefa5,which representation of graph,Which representation of graph,Section C Section,CSE 3rd year.pdf,2,7158
31b2dc51c4c2,why do we use huffman codes,Why do we use Huffman codes?,Section E,CSE 3rd year.pdf,2,7217
ed0801914378,and why,and why?,UNIT-I,CSE 3rd year.pdf,1,5726
507d9c0648b0,and why are they important in databases,and why are they important in databases?,DATABASE MANAGEMENT SYSTEM,CSE 3rd year.pdf,1,7031
a64bdc61e48c,anova provide an example of when anova would be used,ANOVA. Provide an  example of when ANOVA would be used?,DATA ANALYTICS,CSE 3rd year.pdf,1,6893
